site_no,dec_lat_va,dec_long_va,ppt_m01_mm,ppt_m02_mm,ppt_m03_mm,ppt_m04_mm,ppt_m05_mm,ppt_m06_mm,ppt_m07_mm,ppt_m08_mm,ppt_m09_mm,ppt_m10_mm,ppt_m11_mm,ppt_m12_mm,ppt_ann_mm,tmean_m01_c,tmean_m02_c,tmean_m03_c,tmean_m04_c,tmean_m05_c,tmean_m06_c,tmean_m07_c,tmean_m08_c,tmean_m09_c,tmean_m10_c,tmean_m11_c,tmean_m12_c,tmean_ann_C
06876000,39.45450957,-98.1098985,16.608598709106445,21.713899612426758,36.44070053100586,62.78730010986328,108.8666000366211,97.34449768066406,115.29239654541016,87.44950103759766,65.09099578857422,49.17390060424805,31.009998321533203,25.634498596191406,717.41436767578125,-1.8234999179840088,0.3102000057697296,6.102999687194824,11.68239974975586,17.56909942626953,23.80579948425293,26.629199981689453,25.21929931640625,20.614398956298828,13.375199317932129,5.727200031280518,-0.23899999260902405,12.40999984741211
06876200,39.34999817,-97.5691998,18.4867000579834,26.11009979248047,45.82659912109375,68.26719665527344,119.76509857177734,103.38710021972656,109.1240005493164,96.176300048828125,75.1990966796875,55.55649948120117,32.57809829711914,27.16860008239746,777.6468505859375,-1.7917999029159546,0.4837999939918518,6.3225998878479,11.812699317932129,17.644498825073242,23.663299560546875,26.392799377441406,25.076000213623047,20.484498977661133,13.363299369812012,5.82289981842041,-0.15629999339580536,12.429999351501465
06876700,39.13912778,-97.83655,18.722000122070312,25.99199867248535,43.974300384521484,64.28730010986328,120.36289978027344,101.9583969116211,107.11399841308594,98.2406005859375,67.67610168457031,54.785400390625,31.253398895263672,27.72279930114746,762.09075927734375,-0.9853999614715576,1.1825000047683716,6.976799964904785,12.500100135803223,18.27120018005371,24.396799087524414,27.246198654174805,25.922100067138672,21.27349853515625,14.094399452209473,6.467799663543701,0.48899999260902405,13.149999618530273
06876900,38.96899167,-97.4770444,20.343000411987305,29.195598602294922,50.20419692993164,71.297698974609375,131.10330200195312,106.76359558105469,111.87419891357422,103.59649658203125,71.69519805908203,57.88829803466797,36.0359001159668,30.869400024414062,820.86859130859375,-0.9121999740600586,1.4222999811172485,7.256899833679199,12.77769947052002,18.527799606323242,24.479198455810547,27.19209861755371,25.99799919128418,21.328699111938477,14.31049919128418,6.818199634552002,0.8283999562263489,13.339999198913574
06877500,38.8058573,-97.1819647,20.54800033569336,31.33759880065918,54.62699890136719,78.13749694824219,126.80169677734375,112.09369659423828,114.5438003540039,105.20919799804688,73.91849517822266,62.197898864746094,38.8843994140625,32.65629959106445,850.957275390625,-1.0626999139785767,1.2480000257492065,7.112199783325195,12.678699493408203,18.381799697875977,24.24049949645996,26.944499969482422,25.810298919677734,21.12459945678711,14.12299919128418,6.733699798583984,0.7143999934196472,13.170000076293945
06878000,39.031109,-97.0402922,18.63920021057129,29.53660011291504,49.49959945678711,76.80580139160156,132.1313018798828,115.02790069580078,108.52169799804688,106.87049865722656,70.80059814453125,61.70719909667969,36.53730010986328,31.069698333740234,837.14910888671875,-1.4463999271392822,0.9871999621391296,6.916199684143066,12.633399963378906,18.250499725341797,23.931798934936523,26.54290008544922,25.47760009765625,20.84239959716797,13.917900085449219,6.5802998542785645,0.5715999603271484,12.929999351501465
06878500,38.8847238,-96.9100115,19.763898849487305,30.194299697875977,53.02280044555664,80.29139709472656,130.11830139160156,117.22869873046875,112.18280029296875,107.5551986694336,74.28559875488281,63.069698333740234,38.25699996948242,31.85719871520996,857.82830810546875,-1.4365999698638916,0.9544999599456787,6.905999660491943,12.558300018310547,18.208200454711914,23.853599548339844,26.488998413085938,25.421098709106445,20.7731990814209,13.871899604797363,6.549499988555908,0.5437999963760376,12.889999389648438
06879200,39.0077763,-96.7391732,19.558300018310547,29.381698608398438,51.734798431396484,83.119598388671875,130.51010131835938,124.2781982421875,108.5667953491211,111.42969512939453,75.34339904785156,63.187198638916016,38.30870056152344,31.83919906616211,867.25909423828125,-1.5189999341964722,0.9317999482154846,6.867799758911133,12.462800025939941,18.046600341796875,23.738800048828125,26.3533992767334,25.35610008239746,20.705799102783203,13.775899887084961,6.563399791717529,0.5810999870300293,12.819999694824219
06879500,39.10416429,-96.6988946,19.128299713134766,28.92490005493164,50.991600036621094,83.571197509765625,126.38849639892578,126.6001968383789,103.58609771728516,111.89959716796875,75.1082992553711,62.31779861450195,38.135498046875,31.703399658203125,858.3572998046875,-1.5835999250411987,0.8197999596595764,6.747499942779541,12.417999267578125,18.070098876953125,23.81089973449707,26.356199264526367,25.31839942932129,20.64069938659668,13.748899459838867,6.496299743652344,0.5141000151634216,12.779999732971191
06879650,39.102075,-96.5946889,18.703800201416016,29.61119842529297,53.17219924926758,85.98719787597656,127.38369750976562,128.8686981201172,108.8405990600586,108.68509674072266,77.77909851074219,63.81979751586914,40.32640075683594,32.38240051269531,875.561767578125,-1.8503999710083008,0.6679999828338623,6.701499938964844,12.267799377441406,17.786298751831055,23.550100326538086,26.07849884033203,25.212099075317383,20.621198654174805,13.69119930267334,6.360499858856201,0.4648999869823456,12.630000114440918
